"model","max_k","prop_bad_k","elapsed_time_sec"
"one.two.mcmc",0.537420845499189,0,19.6619765758514
"one.two.vb.mf",0.468446932884123,0,13.1062881946564
"one.two.vb.fr",0.51557105869259,0,16.5625729560852
"one.three.mcmc",0.460392464701058,0,29.4360101222992
"one.three.vb.mf",0.758242254573976,8e-04,19.4943292140961
"one.three.vb.fr",0.8506436131059,8e-04,22.9285666942596
"two.one.mcmc",0.40778194224616,0,28.7665135860443
"two.one.vb.mf",0.596844832161261,0,22.3808736801147
"two.one.vb.fr",0.933945373893192,0.0028,25.9919548034668
"two.two.mcmc",0.969510003017077,0.253333333333333,513.068733930588
"two.two.vb.mf",1.18172273662937,0.662222222222222,116.70033788681
"two.two.vb.fr",0.924688043519543,0.102222222222222,127.275463581085
"three.one.mcmc.base",0.45797382470099,0,18.2865228652954
"three.one.vb.base.mf",0.658578817121302,0,6.96076416969299
"three.one.vb.base.fr",0.574718739728299,0,6.02320981025696
"three.one.mcmc.partner",0.47592584043788,0,19.2482907772064
"three.one.vb.partner.mf",0.342367144527006,0,5.50480341911316
"three.one.vb.partner.fr",0.325326271673519,0,4.28879046440125
