"model","parameter","ci_lower","ci_upper","ci_width_mean","point_estimate","RMSE","CI_True","CI_False"
"one.two.mcmc","spp_int",-0.0911689127863736,0.896786223229161,0.998768085151298,0.417545561731023,0.299465575483944,45,5
"one.two.mcmc","spp_slp",-0.607553365644935,0.545062016119012,1.17635483770886,0.00722563212859433,0.244253967080053,50,0
"one.two.vb.mf","spp_int",-0.1370053,0.920651175,1.03723486567,0.418658837206524,0.303707704741823,45,5
"one.two.vb.mf","spp_slp",-0.568310475,0.63301195,1.213395886055,0.0093765941281526,0.246040483145985,50,0
"one.two.vb.fr","spp_int",-0.159821775,0.89467665,1.07923782357,0.419836822243502,0.297889285987796,46,4
"one.two.vb.fr","spp_slp",-0.688585425,0.65445925,1.2962063521,0.0092742110851728,0.24793062435581,50,0
"one.three.mcmc","spp_int",0.0338958724612211,0.935550637113381,0.988428063689717,0.562732371490966,0.256242324285655,47,3
"one.three.mcmc","spp_slp",-0.452800890779812,0.471038412524411,0.932043090916387,-0.0182661660112735,0.201910827719419,49,1
"one.three.mcmc","mean_int",0.176982831940373,0.793508458114043,0.616525626173669,0.513325407111314,NA,NA,NA
"one.three.mcmc","mean_slp",-0.35937608433658,0.355037483291184,0.714413567627764,0.00892496042916572,NA,NA,NA
"one.three.mcmc","lam_int",0.00881000545208781,0.632250224520301,0.623440219068213,0.22172169683971,NA,NA,NA
"one.three.mcmc","lam_slp",0.160431118565385,0.982101195800447,0.821670077235061,0.692047869587819,NA,NA,NA
"one.three.mcmc","null_int",0.0331042508965938,0.123555709912001,0.0904514590154077,0.0685318628620963,NA,NA,NA
"one.three.mcmc","null_slp",0.0146724841601174,0.1096923015491,0.0950198173889826,0.0452841637002582,NA,NA,NA
"one.three.vb.mf","spp_int",0.016240115,1.0220655,1.04514042235,0.56307278063822,0.256989093465261,46,4
"one.three.vb.mf","spp_slp",-0.541823,0.50367645,1.025677272137,-0.0194715475400009,0.21327949593398,49,1
"one.three.vb.mf","mean_int",0.300315475,0.780848275,0.4805328,0.546812375,NA,NA,NA
"one.three.vb.mf","mean_slp",-0.26518695,0.274335575,0.539522525,0.0134562265642,NA,NA,NA
"one.three.vb.mf","lam_int",0.0292479725,0.52375315,0.4945051775,0.1802044089,NA,NA,NA
"one.three.vb.mf","lam_slp",0.1799241,0.7019351,0.522011,0.42811005,NA,NA,NA
"one.three.vb.mf","null_int",0.0452213425,0.111289625,0.0660682825,0.0724503556,NA,NA,NA
"one.three.vb.mf","null_slp",0.0351804475,0.0854972975,0.05031685,0.0569729603,NA,NA,NA
"one.three.vb.fr","spp_int",-0.1400307,1.005601,1.20954045632,0.548974365756731,0.269893442398614,49,1
"one.three.vb.fr","spp_slp",-0.708665575,0.6785908,1.40909602265,0.015058175501454,0.247519021094835,50,0
"one.three.vb.fr","mean_int",-0.6031451,0.910139125,1.513284225,0.154919260523,NA,NA,NA
"one.three.vb.fr","mean_slp",-0.34665135,0.7370561,1.08370745,0.185329779027,NA,NA,NA
"one.three.vb.fr","lam_int",0.54788045,0.94065195,0.3927715,0.795500405,NA,NA,NA
"one.three.vb.fr","lam_slp",0.157399725,0.808855975,0.65145625,0.4731719029,NA,NA,NA
"one.three.vb.fr","null_int",0.172559825,0.793359,0.620799175,0.3874358536,NA,NA,NA
"one.three.vb.fr","null_slp",0.065533685,0.266198775,0.20066509,0.1402230532,NA,NA,NA
"two.one.mcmc","spp_int",0.137684888412446,1.10317009186471,1.05556044403574,0.601611512626656,0.276633368220621,47,3
"two.one.mcmc","spp_slp",0.0299430093000627,1.32449569417725,1.6542879938975,0.0299057647661069,0.37878783534866,49,1
"two.one.mcmc","mean_int",0.0635657583143373,0.854451712319118,0.790885954004781,0.480797446109778,NA,NA,NA
"two.one.mcmc","mean_slp",-0.213141979744529,0.314124156101952,0.527266135846481,0.0370498715799797,NA,NA,NA
"two.one.mcmc","phy_int",0.00358524856336756,0.139542129863746,0.135956881300378,0.041835359432848,NA,NA,NA
"two.one.mcmc","phy_slp",0.000330923747999522,0.0569121612059668,0.0565812374579673,0.0141776257173206,NA,NA,NA
"two.one.mcmc","invphy_int",0.00111823181903057,0.0220991053650002,0.0209808735459696,0.00733019570653495,NA,NA,NA
"two.one.mcmc","invphy_slp",0.0348147218280596,0.157351646293839,0.122536924465779,0.0809021361358917,NA,NA,NA
"two.one.mcmc","null_int",0.0100111106186071,0.24067854625133,0.230667435632723,0.100356700937127,NA,NA,NA
"two.one.mcmc","null_slp",0.00101630887163793,0.172998885229187,0.171982576357549,0.0514706411747941,NA,NA,NA
"two.one.vb.mf","spp_int",0.06017216,1.11300775,1.08516518347,0.60108210506612,0.279273120979902,46,4
"two.one.vb.mf","spp_slp",-0.0678850425,1.4404525,1.450305107415,0.0277360801587946,0.455970073265449,46,4
"two.one.vb.mf","mean_int",0.19333105,0.8508796,0.65754855,0.5027402164,NA,NA,NA
"two.one.vb.mf","mean_slp",-0.2393664,0.3970378,0.6364042,0.0697113363083,NA,NA,NA
"two.one.vb.mf","phy_int",0.00912097725,0.122541825,0.11342084775,0.04267325787,NA,NA,NA
"two.one.vb.mf","phy_slp",0.00654704825,0.10126265,0.09471560175,0.0326758045,NA,NA,NA
"two.one.vb.mf","invphy_int",0.0015341625,0.022546285,0.0210121225,0.007304735933,NA,NA,NA
"two.one.vb.mf","invphy_slp",0.0387141875,0.145108425,0.1063942375,0.0803768542,NA,NA,NA
"two.one.vb.mf","null_int",0.06596828,0.24080445,0.17483617,0.1357022707,NA,NA,NA
"two.one.vb.mf","null_slp",0.021816645,0.2925131,0.270696455,0.0929631527,NA,NA,NA
"two.one.vb.fr","spp_int",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","spp_slp",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","mean_int",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","mean_slp",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","phy_int",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","phy_slp",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","invphy_int",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","invphy_slp",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","null_int",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","null_slp",NA,NA,NA,NA,NA,NA,NA
"two.two.mcmc","null_sites",2.31053341909531,9.88255274881658,7.57201932972127,7.0192097047556,NA,NA,NA
"two.two.mcmc","inv_sites",0.0150248228944181,2.20501514971958,2.18999032682516,0.555893486632876,NA,NA,NA
"two.two.vb.mf","null_sites",7.022281,9.69109475,2.66881375,8.81860385,NA,NA,NA
"two.two.vb.mf","inv_sites",0.046370145,1.42203775,1.375667605,0.3924759293,NA,NA,NA
"two.two.vb.fr","null_sites",2.986147,5.11069875,2.12455175,4.02418425,NA,NA,NA
"two.two.vb.fr","inv_sites",0.0250608775,1.08521375,1.0601528725,0.25354561228,NA,NA,NA
"three.one.mcmc.base","spp_int",-1.23292787758386,-0.337634382460771,1.5667530360561,0.0640059828607084,2.06246191822465,1,9
"three.one.mcmc.base","spp_slp",-1.15143835734667,-0.0983919739586749,1.68448255102189,-1.34284345601969,2.82013231908254,3,7
"three.one.mcmc.base","partner_int",-0.0842232985587059,0.082949297249852,0.135819675674195,-0.0218423628149437,0.438680074730866,0,10
"three.one.mcmc.base","mean_int",-0.619826592874905,0.64543822124744,1.26526481412234,-0.19280725911661,NA,NA,NA
"three.one.mcmc.base","mean_slp",-1.11690366383275,0.340084788549065,1.45698845238181,-0.408251888241194,NA,NA,NA
"three.one.mcmc.base","lam_int",0.00963509741369215,0.385639705986859,0.376004608573167,0.0897014746074428,NA,NA,NA
"three.one.mcmc.base","lam_slp",0.0128436690550639,0.425868720059351,0.413025051004287,0.227569790715673,NA,NA,NA
"three.one.mcmc.base","null_int",0.58137521771626,1.54198580216329,0.96061058444703,1.03637023979481,NA,NA,NA
"three.one.mcmc.base","null_slp",0.734137729343871,1.69820568041824,0.964067951074372,1.04089283372298,NA,NA,NA
"three.one.mcmc.base","mean_partner_int",-0.0681220197638697,0.0636336231523483,0.131755642916218,-0.0222890931249149,NA,NA,NA
"three.one.mcmc.base","lam_partner_int",0.0145385098416773,0.897085754390674,0.882547244548997,0.227248071440647,NA,NA,NA
"three.one.mcmc.base","null_partner_int",1.68056800748294e-06,0.00196603012154695,0.00196434955353947,0.000289814355740901,NA,NA,NA
"three.one.vb.base.mf","spp_int",-1.24679875,-0.274469225,1.10848682065,-0.0164458474815,1.94474966815232,1,9
"three.one.vb.base.mf","spp_slp",-1.162254,-0.131535775,1.3136013735,-1.13913053091263,2.55746179993243,3,7
"three.one.vb.base.mf","partner_int",-0.0959900775,0.0669632425,0.13137856575,-0.00048062301815,0.418970614705114,0,10
"three.one.vb.base.mf","mean_int",-0.882884575,0.824104825,1.7069894,-0.000466901314,NA,NA,NA
"three.one.vb.base.mf","mean_slp",-1.365763,0.5111365,1.8768995,-0.41749688983,NA,NA,NA
"three.one.vb.base.mf","lam_int",0.01528241,0.532805575,0.517523165,0.16116432751,NA,NA,NA
"three.one.vb.base.mf","lam_slp",0.0123160075,0.471365375,0.4590493675,0.14004864438,NA,NA,NA
"three.one.vb.base.mf","null_int",0.52946705,1.6120045,1.08253745,0.9382468,NA,NA,NA
"three.one.vb.base.mf","null_slp",0.706251425,1.65981925,0.953567825,1.108799111,NA,NA,NA
"three.one.vb.base.mf","mean_partner_int",-0.0416428225,0.0451482525,0.086791075,0.0026261276876,NA,NA,NA
"three.one.vb.base.mf","lam_partner_int",0.0486602725,0.8483375,0.7996772275,0.40023469887,NA,NA,NA
"three.one.vb.base.mf","null_partner_int",0.000380987375,0.00322250675,0.002841519375,0.00128065981,NA,NA,NA
"three.one.vb.base.fr","spp_int",-1.42768975,-0.0775488375000001,1.88324989125,-0.03939927443537,1.97785460474079,2,8
"three.one.vb.base.fr","spp_slp",-1.22644775,-0.0304091675000001,1.947643597,-1.166425905966,2.61246131693553,4,6
"three.one.vb.base.fr","partner_int",-0.2387435,0.251018525,0.28703065,0.004603223592486,0.413948836994297,2,8
"three.one.vb.base.fr","mean_int",-0.859422475,0.793353575,1.65277605,-0.012218122089,NA,NA,NA
"three.one.vb.base.fr","mean_slp",-1.2256785,0.4804462,1.7061247,-0.340395309674,NA,NA,NA
"three.one.vb.base.fr","lam_int",0.0122486275,0.5405244,0.5282757725,0.16220988126,NA,NA,NA
"three.one.vb.base.fr","lam_slp",0.012703225,0.5316685,0.518965275,0.16120017539,NA,NA,NA
"three.one.vb.base.fr","null_int",0.561246275,1.6993105,1.138064225,1.010477015,NA,NA,NA
"three.one.vb.base.fr","null_slp",0.647203075,1.8647375,1.217534425,1.1393183,NA,NA,NA
